car model,car category,brand name,price,engine,transmission,fuel type,kmpl,color,year,seater,carfullfeature,dealer ID,dealer name,dealer GPS
Honda CR-V,Mid-size SUV,Honda,2500000,2.0L,Automatic,Petrol,12,Red,2022,5,Honda CR-V Mid-size SUV by Honda priced at 2500000 features a 2.0L engine Automatic transmission Petrol fuel type 12 kmpl Red color 5 seater manufactured in 2022,dealer_433,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=13.94505249154388,68.98249564715125"
Ford Endeavour,Full-size SUV,Ford,3500000,3.2L,Automatic,Diesel,10,White,2023,7,Ford Endeavour Full-size SUV by Ford priced at 3500000 features a 3.2L engine Automatic transmission Diesel fuel type 10 kmpl White color 7 seater manufactured in 2023,dealer_33,MNY Cars,"https://www.google.com/maps/search/?api=1&query=18.997628963950213,77.03272196284996"
Volkswagen Tiguan,Mid-size SUV,Volkswagen,3000000,2.0L,Automatic,Diesel,13,Black,2022,5,Volkswagen Tiguan Mid-size SUV by Volkswagen priced at 3000000 features a 2.0L engine Automatic transmission Diesel fuel type 13 kmpl Black color 5 seater manufactured in 2022,dealer_31,MNY Cars,"https://www.google.com/maps/search/?api=1&query=34.86703328410162,90.63437551883655"
Hyundai Verna,Sedan,Hyundai,1300000,1.5L,Manual,Petrol,17,Blue,2023,5,Hyundai Verna Sedan by Hyundai priced at 1300000 features a 1.5L engine Manual transmission Petrol fuel type 17 kmpl Blue color 5 seater manufactured in 2023,dealer_96,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=28.92629997178704,76.05002800625313"
Mahindra XUV300,Compact SUV,Mahindra,1200000,1.2L,Manual,Petrol,17,Red,2022,5,Mahindra XUV300 Compact SUV by Mahindra priced at 1200000 features a 1.2L engine Manual transmission Petrol fuel type 17 kmpl Red color 5 seater manufactured in 2022,dealer_224,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=9.394744674958543,74.38281920835182"
Renault Duster,Compact SUV,Renault,1100000,1.5L,Manual,Diesel,19,White,2023,5,Renault Duster Compact SUV by Renault priced at 1100000 features a 1.5L engine Manual transmission Diesel fuel type 19 kmpl White color 5 seater manufactured in 2023,dealer_239,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=30.66391997079103,74.16774274589557"
Nissan Kicks,Compact SUV,Nissan,1000000,1.5L,Manual,Petrol,18,Silver,2023,5,Nissan Kicks Compact SUV by Nissan priced at 1000000 features a 1.5L engine Manual transmission Petrol fuel type 18 kmpl Silver color 5 seater manufactured in 2023,dealer_518,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=32.01028572814727,82.94003678979756"
MG ZS EV,Electric SUV,MG,2300000,Electric,Automatic,Electric,44,Blue,2022,5,MG ZS EV Electric SUV by MG priced at 2300000 features an Electric engine Automatic transmission Electric fuel type 44 kmpl Blue color 5 seater manufactured in 2022,dealer_617,MNY Cars,"https://www.google.com/maps/search/?api=1&query=29.764555818194093,96.29069815479993"
Hyundai Kona,Electric SUV,Hyundai,2400000,Electric,Automatic,Electric,45,White,2023,5,Hyundai Kona Electric SUV by Hyundai priced at 2400000 features an Electric engine Automatic transmission Electric fuel type 45 kmpl White color 5 seater manufactured in 2023,dealer_28,MNY Cars,"https://www.google.com/maps/search/?api=1&query=31.186576796665953,81.31068065249337"
Tata Tigor EV,Electric Sedan,Tata Motors,1200000,Electric,Automatic,Electric,42,Black,2023,5,Tata Tigor EV Electric Sedan by Tata Motors priced at 1200000 features an Electric engine Automatic transmission Electric fuel type 42 kmpl Black color 5 seater manufactured in 2023,dealer_575,MNY Cars,"https://www.google.com/maps/search/?api=1&query=31.92884762409112,84.16185569781139"
Mahindra eVerito,Electric Sedan,Mahindra,1000000,Electric,Automatic,Electric,40,Blue,2022,5,Mahindra eVerito Electric Sedan by Mahindra priced at 1000000 features an Electric engine Automatic transmission Electric fuel type 40 kmpl Blue color 5 seater manufactured in 2022,dealer_204,MNY Cars,"https://www.google.com/maps/search/?api=1&query=13.405744616856179,92.95832851883128"
BMW X5,Full-size SUV,BMW,7500000,3.0L,Automatic,Petrol,11,Black,2023,5,BMW X5 Full-size SUV by BMW priced at 7500000 features a 3.0L engine Automatic transmission Petrol fuel type 11 kmpl Black color 5 seater manufactured in 2023,dealer_734,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=14.835060635884993,83.5170218490761"
Audi Q7,Full-size SUV,Audi,8000000,3.0L,Automatic,Diesel,10,White,2022,7,Audi Q7 Full-size SUV by Audi priced at 8000000 features a 3.0L engine Automatic transmission Diesel fuel type 10 kmpl White color 7 seater manufactured in 2022,dealer_666,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=26.37899834788514,73.34942327114683"
Mercedes-Benz GLC,Mid-size SUV,Mercedes-Benz,6000000,2.0L,Automatic,Petrol,12,Silver,2023,5,Mercedes-Benz GLC Mid-size SUV by Mercedes-Benz priced at 6000000 features a 2.0L engine Automatic transmission Petrol fuel type 12 kmpl Silver color 5 seater manufactured in 2023,dealer_719,MNY Cars,"https://www.google.com/maps/search/?api=1&query=34.328117783412964,76.68828144122783"
Jaguar F-Pace,Mid-size SUV,Jaguar,7000000,2.0L,Automatic,Diesel,11,Red,2022,5,Jaguar F-Pace Mid-size SUV by Jaguar priced at 7000000 features a 2.0L engine Automatic transmission Diesel fuel type 11 kmpl Red color 5 seater manufactured in 2022,dealer_559,MNY Cars,"https://www.google.com/maps/search/?api=1&query=17.169700886598342,76.98817086178971"
Range Rover Evoque,Compact SUV,Land Rover,6500000,2.0L,Automatic,Petrol,10,Blue,2023,5,Range Rover Evoque Compact SUV by Land Rover priced at 6500000 features a 2.0L engine Automatic transmission Petrol fuel type 10 kmpl Blue color 5 seater manufactured in 2023,dealer_430,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=25.060893598056644,79.52222534827034"
Volvo XC90,Full-size SUV,Volvo,8500000,2.0L,Automatic,Diesel,10,Black,2023,5,Volvo XC90 Full-size SUV by Volvo priced at 8500000 features a 2.0L engine Automatic transmission Diesel fuel type 10 kmpl Black color 5 seater manufactured in 2023,dealer_226,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=27.80647983909684,80.37687825476573"
Lexus RX,Mid-size SUV,Lexus,8500000,3.5L,Automatic,Petrol,10,Red,2022,5,Lexus RX Mid-size SUV by Lexus priced at 8500000 features a 3.5L engine Automatic transmission Petrol fuel type 10 kmpl Red color 5 seater manufactured in 2022,dealer_460,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=21.106509437672138,91.19367864015382"
Tesla Model X,Electric SUV,Tesla,9500000,Electric,Automatic,Electric,95,White,2023,7,Tesla Model X Electric SUV by Tesla priced at 9500000 features an Electric engine Automatic transmission Electric fuel type 95 kmpl White color 7 seater manufactured in 2023,dealer_604,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=28.699691190804455,78.13222297243065"
BMW 3 Series,Sedan,BMW,4000000,2.0L,Automatic,Petrol,15,Black,2023,5,BMW 3 Series Sedan by BMW priced at 4000000 features a 2.0L engine Automatic transmission Petrol fuel type 15 kmpl Black color 5 seater manufactured in 2023,dealer_285,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=34.09035591347302,81.5787230248"
Audi A4,Sedan,Audi,4200000,2.0L,Automatic,Diesel,14,Silver,2023,5,Audi A4 Sedan by Audi priced at 4200000 features a 2.0L engine Automatic transmission Diesel fuel type 14 kmpl Silver color 5 seater manufactured in 2023,dealer_829,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=26.09894478127329,86.12430362448052"
Maruti Suzuki Baleno,Hatchback,Maruti Suzuki,800000,1.2L,Manual,Petrol,21,Blue,2022,5,Maruti Suzuki Baleno Hatchback by Maruti Suzuki priced at 800000 features a 1.2L engine Manual transmission Petrol fuel type 21 kmpl Blue color 5 seater manufactured in 2022,dealer_891,MNY Cars,"https://www.google.com/maps/search/?api=1&query=23.653650795524356,78.95405247576491"
Honda Amaze,Sedan,Honda,800000,1.2L,Manual,Petrol,18,Red,2022,5,Honda Amaze Sedan by Honda priced at 800000 features a 1.2L engine Manual transmission Petrol fuel type 18 kmpl Red color 5 seater manufactured in 2022,dealer_7,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=20.723595586261833,92.26037958547765"
Hyundai Santro,Hatchback,Hyundai,500000,1.1L,Manual,Petrol,20,Silver,2022,5,Hyundai Santro Hatchback by Hyundai priced at 500000 features a 1.1L engine Manual transmission Petrol fuel type 20 kmpl Silver color 5 seater manufactured in 2022,dealer_778,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=24.747101856277645,85.03615452278815"
Toyota Fortuner,Full-size SUV,Toyota,3500000,2.8L,Automatic,Diesel,12,Black,2022,7,Toyota Fortuner Full-size SUV by Toyota priced at 3500000 features a 2.8L engine Automatic transmission Diesel fuel type 12 kmpl Black color 7 seater manufactured in 2022,dealer_826,MNY Cars,"https://www.google.com/maps/search/?api=1&query=18.30551110273348,76.52729569740818"
Mahindra Scorpio,Mid-size SUV,Mahindra,1500000,2.2L,Manual,Diesel,14,White,2022,7,Mahindra Scorpio Mid-size SUV by Mahindra priced at 1500000 features a 2.2L engine Manual transmission Diesel fuel type 14 kmpl White color 7 seater manufactured in 2022,dealer_164,MNY Cars,"https://www.google.com/maps/search/?api=1&query=19.352981195843554,88.70771679390502"
Tata Altroz,Hatchback,Tata Motors,700000,1.2L,Manual,Petrol,19,Blue,2022,5,Tata Altroz Hatchback by Tata Motors priced at 700000 features a 1.2L engine Manual transmission Petrol fuel type 19 kmpl Blue color 5 seater manufactured in 2022,dealer_715,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=23.423866910957045,83.30178417419879"
Renault Triber,MPV,Renault,600000,1.0L,Manual,Petrol,19,Red,2022,7,Renault Triber MPV by Renault priced at 600000 features a 1.0L engine Manual transmission Petrol fuel type 19 kmpl Red color 7 seater manufactured in 2022,dealer_433,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=9.931954259333692,83.49922084646016"
Ford Figo,Hatchback,Ford,700000,1.2L,Manual,Petrol,20,Silver,2022,5,Ford Figo Hatchback by Ford priced at 700000 features a 1.2L engine Manual transmission Petrol fuel type 20 kmpl Silver color 5 seater manufactured in 2022,dealer_349,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=14.641736336819093,81.95155050323999"
Hyundai Elantra,Sedan,Hyundai,1800000,2.0L,Automatic,Petrol,15,Black,2022,5,Hyundai Elantra Sedan by Hyundai priced at 1800000 features a 2.0L engine Automatic transmission Petrol fuel type 15 kmpl Black color 5 seater manufactured in 2022,dealer_285,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=23.742630007788858,82.41334651581622"
Maruti Suzuki Ertiga,MPV,Maruti Suzuki,900000,1.5L,Manual,Petrol,17,White,2022,7,Maruti Suzuki Ertiga MPV by Maruti Suzuki priced at 900000 features a 1.5L engine Manual transmission Petrol fuel type 17 kmpl White color 7 seater manufactured in 2022,dealer_160,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=20.514316150956837,90.19533215092098"
Nissan Terrano,Compact SUV,Nissan,1200000,1.5L,Manual,Diesel,19,Blue,2022,5,Nissan Terrano Compact SUV by Nissan priced at 1200000 features a 1.5L engine Manual transmission Diesel fuel type 19 kmpl Blue color 5 seater manufactured in 2022,dealer_221,MNY Cars,"https://www.google.com/maps/search/?api=1&query=17.651657791462043,70.98646290060815"
Tata Hexa,Full-size SUV,Tata Motors,1800000,2.2L,Manual,Diesel,15,Red,2022,7,Tata Hexa Full-size SUV by Tata Motors priced at 1800000 features a 2.2L engine Manual transmission Diesel fuel type 15 kmpl Red color 7 seater manufactured in 2022,dealer_981,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=29.18592496746974,77.69652152800398"
Skoda Octavia,Sedan,Skoda,2500000,2.0L,Automatic,Petrol,16,Silver,2022,5,Skoda Octavia Sedan by Skoda priced at 2500000 features a 2.0L engine Automatic transmission Petrol fuel type 16 kmpl Silver color 5 seater manufactured in 2022,dealer_782,MNY Cars,"https://www.google.com/maps/search/?api=1&query=28.117810614696815,70.18959755031278"
Maruti Suzuki S-Presso,Hatchback,Maruti Suzuki,500000,1.0L,Manual,Petrol,21,Blue,2022,5,Maruti Suzuki S-Presso Hatchback by Maruti Suzuki priced at 500000 features a 1.0L engine Manual transmission Petrol fuel type 21 kmpl Blue color 5 seater manufactured in 2022,dealer_345,MNY Cars,"https://www.google.com/maps/search/?api=1&query=12.835192039808112,89.84414040167607"
Mahindra Bolero,Mid-size SUV,Mahindra,900000,1.5L,Manual,Diesel,15,White,2022,7,Mahindra Bolero Mid-size SUV by Mahindra priced at 900000 features a 1.5L engine Manual transmission Diesel fuel type 15 kmpl White color 7 seater manufactured in 2022,dealer_105,MNY Cars,"https://www.google.com/maps/search/?api=1&query=33.48024434582971,75.89675378688868"
Hyundai Venue,Compact SUV,Hyundai,1000000,1.0L,Manual,Petrol,18,Red,2022,5,Hyundai Venue Compact SUV by Hyundai priced at 1000000 features a 1.0L engine Manual transmission Petrol fuel type 18 kmpl Red color 5 seater manufactured in 2022,dealer_95,MNY Cars,"https://www.google.com/maps/search/?api=1&query=22.367285165715003,94.02548188474765"
Toyota Innova Crysta,MPV,Toyota,1800000,2.4L,Manual,Diesel,15,Silver,2022,7,Toyota Innova Crysta MPV by Toyota priced at 1800000 features a 2.4L engine Manual transmission Diesel fuel type 15 kmpl Silver color 7 seater manufactured in 2022,dealer_390,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=29.502366423032317,83.27077553311952"
Tata Punch,Micro SUV,Tata Motors,800000,1.2L,Manual,Petrol,18,Blue,2022,5,Tata Punch Micro SUV by Tata Motors priced at 800000 features a 1.2L engine Manual transmission Petrol fuel type 18 kmpl Blue color 5 seater manufactured in 2022,dealer_100,MNY Cars,"https://www.google.com/maps/search/?api=1&query=24.62137462846427,91.22174337309751"
Maruti Suzuki Ciaz,Sedan,Maruti Suzuki,1000000,1.5L,Manual,Petrol,20,Red,2022,5,Maruti Suzuki Ciaz Sedan by Maruti Suzuki priced at 1000000 features a 1.5L engine Manual transmission Petrol fuel type 20 kmpl Red color 5 seater manufactured in 2022,dealer_368,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=36.933085861791454,96.38901163286287"
Mahindra Marazzo,MPV,Mahindra,1200000,1.5L,Manual,Diesel,17,White,2022,7,Mahindra Marazzo MPV by Mahindra priced at 1200000 features a 1.5L engine Manual transmission Diesel fuel type 17 kmpl White color 7 seater manufactured in 2022,dealer_868,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=29.819690481125857,92.35387692424055"
Volkswagen Vento,Sedan,Volkswagen,1200000,1.2L,Automatic,Petrol,18,Blue,2022,5,Volkswagen Vento Sedan by Volkswagen priced at 1200000 features a 1.2L engine Automatic transmission Petrol fuel type 18 kmpl Blue color 5 seater manufactured in 2022,dealer_353,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=28.502433376060313,93.14281904033419"
Tata Safari,Full-size SUV,Tata Motors,1500000,2.0L,Manual,Diesel,14,Silver,2022,7,Tata Safari Full-size SUV by Tata Motors priced at 1500000 features a 2.0L engine Manual transmission Diesel fuel type 14 kmpl Silver color 7 seater manufactured in 2022,dealer_619,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=30.578586232471782,79.8315503655805"
Hyundai Grand i10,Hatchback,Hyundai,700000,1.2L,Manual,Petrol,19,Red,2022,5,Hyundai Grand i10 Hatchback by Hyundai priced at 700000 features a 1.2L engine Manual transmission Petrol fuel type 19 kmpl Red color 5 seater manufactured in 2022,dealer_271,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=12.150711580905618,83.99995526252086"
Maruti Suzuki Ignis,Hatchback,Maruti Suzuki,600000,1.2L,Manual,Petrol,20,Blue,2022,5,Maruti Suzuki Ignis Hatchback by Maruti Suzuki priced at 600000 features a 1.2L engine Manual transmission Petrol fuel type 20 kmpl Blue color 5 seater manufactured in 2022,dealer_827,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=13.931793201914434,75.36276835725582"
Mahindra KUV100,Micro SUV,Mahindra,700000,1.2L,Manual,Petrol,18,White,2022,5,Mahindra KUV100 Micro SUV by Mahindra priced at 700000 features a 1.2L engine Manual transmission Petrol fuel type 18 kmpl White color 5 seater manufactured in 2022,dealer_45,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=28.707858384484812,73.68727989111014"
Renault Captur,Compact SUV,Renault,1100000,1.5L,Manual,Diesel,20,Silver,2022,5,Renault Captur Compact SUV by Renault priced at 1100000 features a 1.5L engine Manual transmission Diesel fuel type 20 kmpl Silver color 5 seater manufactured in 2022,dealer_748,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=22.325463126795015,82.65972849407498"
Tata Zest,Sedan,Tata Motors,600000,1.2L,Manual,Petrol,17,Red,2022,5,Tata Zest Sedan by Tata Motors priced at 600000 features a 1.2L engine Manual transmission Petrol fuel type 17 kmpl Red color 5 seater manufactured in 2022,dealer_471,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=29.88442346394338,85.2564204113122"
Volkswagen Ameo,Sedan,Volkswagen,800000,1.2L,Manual,Petrol,19,Blue,2022,5,Volkswagen Ameo Sedan by Volkswagen priced at 800000 features a 1.2L engine Manual transmission Petrol fuel type 19 kmpl Blue color 5 seater manufactured in 2022,dealer_550,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=10.984564891580206,77.83886613098954"
Mahindra TUV300,Compact SUV,Mahindra,1000000,1.5L,Manual,Diesel,17,White,2022,7,Mahindra TUV300 Compact SUV by Mahindra priced at 1000000 features a 1.5L engine Manual transmission Diesel fuel type 17 kmpl White color 7 seater manufactured in 2022,dealer_128,MNY Cars,"https://www.google.com/maps/search/?api=1&query=23.55795919305325,84.51386201514151"
Honda WR-V,Compact SUV,Honda,900000,1.2L,Manual,Petrol,18,Silver,2022,5,Honda WR-V Compact SUV by Honda priced at 900000 features a 1.2L engine Manual transmission Petrol fuel type 18 kmpl Silver color 5 seater manufactured in 2022,dealer_997,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=18.985825401150557,93.7363539928916"
Hyundai Tucson,Mid-size SUV,Hyundai,2000000,2.0L,Automatic,Diesel,14,Black,2022,5,Hyundai Tucson Mid-size SUV by Hyundai priced at 2000000 features a 2.0L engine Automatic transmission Diesel fuel type 14 kmpl Black color 5 seater manufactured in 2022,dealer_945,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=21.253006359168673,84.14492595871762"
Maruti Suzuki Vitara Brezza,Compact SUV,Maruti Suzuki,1000000,1.5L,Manual,Petrol,18,Red,2022,5,Maruti Suzuki Vitara Brezza Compact SUV by Maruti Suzuki priced at 1000000 features a 1.5L engine Manual transmission Petrol fuel type 18 kmpl Red color 5 seater manufactured in 2022,dealer_388,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=25.514778290102864,88.9035797930047"
Mahindra XUV500,Mid-size SUV,Mahindra,1500000,2.2L,Manual,Diesel,15,White,2022,7,Mahindra XUV500 Mid-size SUV by Mahindra priced at 1500000 features a 2.2L engine Manual transmission Diesel fuel type 15 kmpl White color 7 seater manufactured in 2022,dealer_81,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=22.566362076413377,91.35413405337925"
Tata Tiago,Hatchback,Tata Motors,500000,1.2L,Manual,Petrol,23,Blue,2022,5,Tata Tiago Hatchback by Tata Motors priced at 500000 features a 1.2L engine Manual transmission Petrol fuel type 23 kmpl Blue color 5 seater manufactured in 2022,dealer_566,MNY Cars,"https://www.google.com/maps/search/?api=1&query=23.655958476272264,96.67313467670783"
Renault Lodgy,MPV,Renault,900000,1.5L,Manual,Diesel,19,Silver,2022,7,Renault Lodgy MPV by Renault priced at 900000 features a 1.5L engine Manual transmission Diesel fuel type 19 kmpl Silver color 7 seater manufactured in 2022,dealer_301,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=22.104366977872626,85.4927246631324"
Volkswagen Passat,Sedan,Volkswagen,3000000,2.0L,Automatic,Diesel,15,Red,2022,5,Volkswagen Passat Sedan by Volkswagen priced at 3000000 features a 2.0L engine Automatic transmission Diesel fuel type 15 kmpl Red color 5 seater manufactured in 2022,dealer_850,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=19.859700135479304,91.398654319915"
Maruti Suzuki Dzire,Sedan,Maruti Suzuki,700000,1.2L,Manual,Petrol,22,Blue,2022,5,Maruti Suzuki Dzire Sedan by Maruti Suzuki priced at 700000 features a 1.2L engine Manual transmission Petrol fuel type 22 kmpl Blue color 5 seater manufactured in 2022,dealer_644,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=30.384577437349108,95.91683023809136"
Hyundai Xcent,Sedan,Hyundai,800000,1.2L,Manual,Petrol,20,White,2022,5,Hyundai Xcent Sedan by Hyundai priced at 800000 features a 1.2L engine Manual transmission Petrol fuel type 20 kmpl White color 5 seater manufactured in 2022,dealer_634,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=8.353889097223291,95.38788204174094"
Tata Bolt,Hatchback,Tata Motors,600000,1.2L,Manual,Petrol,18,Red,2022,5,Tata Bolt Hatchback by Tata Motors priced at 600000 features a 1.2L engine Manual transmission Petrol fuel type 18 kmpl Red color 5 seater manufactured in 2022,dealer_907,GH76 Carman,"https://www.google.com/maps/search/?api=1&query=25.354838334951584,72.09137361455369"
Mahindra Verito,Sedan,Mahindra,700000,1.5L,Manual,Diesel,19,Blue,2022,5,Mahindra Verito Sedan by Mahindra priced at 700000 features a 1.5L engine Manual transmission Diesel fuel type 19 kmpl Blue color 5 seater manufactured in 2022,dealer_883,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=24.39974207236624,79.78537693993214"
Renault Scala,Sedan,Renault,800000,1.5L,Manual,Petrol,18,Silver,2022,5,Renault Scala Sedan by Renault priced at 800000 features a 1.5L engine Manual transmission Petrol fuel type 18 kmpl Silver color 5 seater manufactured in 2022,dealer_371,XXY Carzone,"https://www.google.com/maps/search/?api=1&query=28.76919316725561,77.39571177209719"
